"","id","sexe","age_day","age_year","fratrie","canton_residence","formation_m","formation_p","habitat","filiere","liquide","loisirs","taches_domestiques","etudes","sommeil","distance","mobilite","pays","avion","frequence_facebook","frequence_twitter","frequence_instagram","frequence_snapchat","frequence_jodel","frequence_tiktok","reseau_facebook","reseau_instagram","opinion_algorithmes","opinion_queer","opinion_quotas","opinion_desobeissance","opinion_vols","opinion_logiciele","opinion_laffinite","opinion_crainte","opinion_comparison","opinion_questionnaire"
"1","AA17",1,7378,20,2,1,1,2,1,3,15,97,10,12,49,10,3,6,0,5,4,5,5,5,5,41,0,1,4,3,3,4,3,4,2,3,4
"2","AC04",1,8577,23,1,5,2,2,0,3,35.75,14,15,21,41,1.02,1,15,26,4,5,4,5,5,5,642,463,1,1,2,3,2,2,1,3,1,3
"3","AD03",2,7824,21,1,7,4,5,0,4,62.5,5,5,40,56,100,3,7,2,5,5,5,5,5,5,0,0,1,1,3,3,4,2,3,3,3,3
"4","AD21",1,10904,29,2,3,5,5,0,1,145.3,20,10,40,63,0.9,1,22,6,4,5,5,5,5,5,578,0,1,2,2,1,3,2,2,3,1,2
"5","AD22",2,7372,20,2,3,5,5,0,4,152.3,4,2,20,50,2,1,18,9,5,5,4,5,5,5,0,403,3,2,4,4,4,3,3,2,3,3
"6","AE17",2,7164,19,2,9,2,2,0,4,20.47,8,4,23,63,2,3,8,9,4,4,4,1,5,5,269,481,3,2,3,2,3,2,2,3,1,1
"7","AF08",1,7356,20,1,4,5,5,0,2,1.2,15,5,30,56,327.7,1,17,8,4,5,4,3,5,5,409,159,2,4,4,2,3,3,1,1,1,3
"8","AF20",1,7076,19,1,1,5,5,1,3,110,6,2,4,60,14,3,22,6,5,5,4,4,5,5,0,514,2,1,2,4,4,3,1,1,1,3
"9","AF22",2,7189,19,1,1,2,4,1,2,NA,22,20,7,49,6.35,3,9,2,4,2,4,1,4,4,173,285,2,2,3,2,4,4,2,2,2,4
"10","AF27",1,7845,21,3,1,4,4,1,2,2.05,40,8,24,56,2,3,6,3,5,5,5,5,5,5,0,0,2,3,1,1,3,2,1,2,3,3
"11","AH11",2,10220,28,1,3,2,2,1,1,0,77,49,104,42,72,3,30,12,4,4,4,4,5,5,470,698,1,1,3,2,3,2,1,1,1,3
"12","AI06",2,10470,28,2,9,5,5,0,4,18.05,10,4,16,60,4.1,3,26,1,4,4,4,5,5,5,415,203,1,3,4,3,3,3,4,2,2,3
"13","AI08",1,7027,19,2,3,5,3,1,6,19.7,20,1,25,55,58.4,3,15,0,5,5,4,5,5,5,0,1064,1,1,3,4,3,2,1,2,2,3
"14","AM20",2,7343,20,3,2,2,2,1,2,15.2,10,3,25,63,45.7,3,22,5,4,5,4,1,5,5,1049,1012,2,3,3,3,4,2,3,3,3,3
"15","AM30",2,6823,18,1,3,5,2,1,2,3.9,12,3.5,30,52.5,32.75,3,12,0,4,5,3,1,5,5,218,797,1,1,3,4,4,2,3,2,2,3
"16","AP24",2,6629,18,2,1,4,2,1,2,0,20,1,5,56,15,3,31,4,5,5,4,2,5,5,0,507,2,1,3,3,4,2,1,2,2,3
"17","AR19",2,7521,20,3,3,5,5,1,1,0.5,12,4,56,6,57,3,7,2,5,5,4,3,5,5,0,361,2,3,2,1,4,2,3,2,3,4
"18","AS21",1,821,22,2,4,2,2,1,3,101.1,6,2,18,50,29,4,12,2,4,5,4,3,5,5,15,482,3,3,3,2,4,2,2,2,2,3
"19","AS29",2,6885,18,2,4,2,2,1,4,0.75,8,4,21,37,31,3,6,4,5,5,3,1,5,5,0,329,3,3,4,3,4,2,1,4,2,1
"20","AS30",2,8131,22,1,8,3,5,0,3,13.45,10,4,55,56,1.6,1,9,1,4,5,4,5,5,5,530,611,2,2,3,3,4,3,2,2,2,3
"21","AT23",2,7432,20,5,8,4,5,0,3,23.05,35,7,36,62,3,3,1,4,5,5,3,5,5,5,0,450,1,2,2,3,4,2,4,3,3,3
"22","AV21",2,7197,19,1,9,5,2,1,1,1.1,26,7,10,63,1.54,1,13,0,5,5,4,4,5,5,0,428,3,3,3,2,2,2,2,2,2,3
"23","BA30",2,6640,18,2,9,3,2,0,4,11,40,10,35,44,1.1,1,15,4,1,1,2,1,5,5,479,477,2,4,3,1,2,3,3,2,1,3
"24","BB19",2,6890,18,0,1,5,4,1,4,50.5,62,2,16.3,53,2.77,3,7,2,5,4,4,1,5,5,0,937,2,2,3,2,3,3,2,3,2,2
"25","BD28",2,8706,23,3,6,1,2,0,2,26.65,57,16,25,56,41,3,10,4,4,4,5,5,5,5,213,238,1,2,3,3,4,4,1,3,3,3
"26","BL25",1,10413,28,1,1,3,2,0,3,63.55,7,4,22,49,15.28,3,8,0,1,5,4,5,5,5,172,44,1,3,2,4,4,3,1,2,2,1
"27","BM04",2,6935,19,1,1,3,2,1,4,90.5,3,1,12,42,21,4,7,9,4,4,3,3,5,5,1220,1351,1,2,2,3,3,2,3,3,2,2
"28","BM25",2,7425,20,1,1,2,5,1,4,35.3,8,2,30,56,17,3,12,1,4,5,4,3,5,5,168,602,2,3,3,1,4,3,4,4,3,3
"29","BS19",1,9263,25,2,6,4,4,0,4,14.45,35,1.5,28,70,97.39,1,8,0,5,5,5,5,5,5,0,0,1,4,3,4,4,3,4,4,4,4
"30","BS99",2,1841,35,6,9,1,4,0,3,20,5,14,20,40,14.3,3,8,0,1,5,5,5,5,5,182,0,1,4,3,3,1,3,2,3,3,4
"31","BV18",2,6889,18,1,9,2,3,0,4,4.85,2,3,30,63,0.8,1,10,0,4,4,4,1,5,5,697,360,2,1,3,2,2,3,1,4,1,4
"32","C3PO",1,7296,20,3,3,5,2,1,3,13.2,42,3,14,49,57.13,3,19,2,4,3,3,2,5,5,NA,NA,3,1,4,4,4,1,4,4,4,4
"33","CA 0",1,6994,19,3,1,5,5,1,1,61.95,40,2,5,56,22,3,20,1,5,5,2,2,5,5,0,286,2,3,4,3,4,3,1,2,2,4
"34","CA02",1,7179,19,2,2,2,2,1,1,1.3,5,3,25,46,52.5,3,5,0,5,3,4,5,5,5,0,167,1,2,2,3,4,2,1,3,2,3
"35","CA14",1,6931,18,0,1,5,5,1,2,NA,7,4,20,60,5.69,3,19,12,4,1,1,1,3,3,2,702,1,1,2,1,2,2,4,3,2,3
"36","CA14",2,10065,27,3,1,2,5,0,2,84,6,14,14,63,21.2,3,14,2,4,5,5,5,5,5,82,0,1,1,4,4,4,3,1,1,4,3
"37","CC23",2,7646,20,0,3,2,2,1,3,113.8,15,3,30,49,38.83,4,5,0,1,2,2,2,5,4,481,158,2,1,1,2,4,2,4,4,3,3
"38","CC26",2,7763,21,3,2,4,2,0,3,21.1,30,7,13,56,13.63,3,11,5,4,5,2,1,5,4,971,744,1,1,3,1,4,2,1,3,2,4
"39","CC29",2,7207,19,2,1,5,5,1,1,94.1,5,7,27,51,13,3,5,2,4,5,3,1,5,5,20,2786,2,4,3,1,3,3,3,4,3,3
"40","CF10",2,7208,19,1,1,3,2,1,4,11.05,14,7,38,42,27,3,14,4,2,5,1,1,5,1,303,285,2,NA,3,1,1,2,3,3,3,3
"41","CI09",2,7330,20,1,4,5,2,1,4,58.25,42,4,24,56,62,3,12,5,4,1,4,4,5,4,471,429,2,2,3,2,3,3,2,4,3,3
"42","CI21",1,8379,22,1,5,3,4,0,1,50.55,20,5,20,42,125,1,25,4,3,3,4,4,5,5,1033,1669,1,2,3,4,3,2,2,2,1,3
"43","CJ07",2,7181,19,3,4,2,5,1,2,2.3,2,3,18,7,52.08,3,3,1,4,5,2,4,5,5,139,1203,3,2,3,2,2,2,1,3,2,3
"44","CR19",2,7735,21,1,3,2,2,1,1,279.5,15,3,60,39,62,3,13,2,5,4,4,5,4,5,0,1094,3,3,3,3,4,2,4,3,3,3
"45","CS17",1,7256,19,1,5,4,4,0,3,0,14,14,14,49,0.6,1,10,0,5,5,4,2,5,5,0,650,2,3,3,2,3,3,3,3,2,3
"46","DA19",1,8592,23,3,1,5,5,1,1,42.6,12,2,20,55,2.1,1,15,1,4,4,4,1,5,5,727,635,2,1,3,1,2,3,1,1,1,4
"47","DB20",1,9145,25,1,1,3,2,1,3,100.25,35,7,8,40,8.2,3,10,8,4,5,3,1,5,4,458,654,1,1,1,1,2,2,1,2,2,4
"48","DE11",2,7686,21,2,9,1,1,0,6,2.35,19,10,40,56,1.8,3,13,21,4,5,4,3,5,5,769,615,3,2,4,3,3,3,3,3,2,3
"49","DF05",2,7541,20,3,3,4,5,1,4,20,30,5,40,56,97,3,15,2,4,5,4,4,5,4,41,258,2,3,4,1,3,3,2,2,1,NA
"50","DL23",2,7668,20,1,5,3,2,1,1,5,5,2,18,52,1.4,3,10,5,2,5,1,1,5,5,621,428,2,2,3,2,3,2,1,4,3,3
"51","DS14",2,7174,19,1,4,2,4,1,4,64.8,42,4,20,49,33,3,16,4,5,4,4,4,5,5,0,358,2,2,3,2,3,3,3,4,3,2
"52","DS26",2,6935,19,1,3,5,5,0,4,1.15,8,3,10,42,34,3,6,6,4,2,3,3,5,5,597,939,1,2,3,1,3,1,2,4,1,4
"53","DS29",2,7024,19,1,2,3,2,1,3,75.5,5,5,25,49,45,3,7,1,4,5,4,2,5,5,466,696,1,2,3,2,3,2,2,2,2,3
"54","EA06",2,7304,19,2,9,5,5,0,4,5,42,14,31,56,3,3,12,8,4,1,3,1,5,4,40,195,1,NA,2,NA,3,2,1,1,1,3
"55","EM16",2,6632,18,3,2,5,4,0,4,212.55,6,7,20,54,0.796,1,12,2,5,5,4,5,5,5,0,484,2,2,3,1,3,3,1,1,2,2
"56","ES07",2,7076,19,2,8,2,1,0,2,1,10,10,40,60,40,3,7,1,3,5,4,4,5,5,303,249,2,4,4,4,4,3,3,2,2,1
"57","FA17",2,6707,18,2,9,5,5,0,NA,30.2,4.3,3,30,63,4,3,5,0,5,4,5,4,5,5,0,0,3,1,3,1,2,3,2,4,2,3
"58","FC04",2,6901,18,2,1,2,2,1,3,12.2,14,2,10,63,17.57,3,7,0,5,5,5,5,5,5,0,0,2,2,3,3,4,2,3,3,3,3
"59","FE06",2,7395,20,1,1,4,4,1,2,136.5,41,3,31,56,5.23,3,10,2,4,1,4,1,5,5,63,363,2,1,3,3,4,2,3,4,1,3
"60","FE20",1,7313,20,2,1,4,3,0,1,30,50,10,40,50,84.27,1,7,0,4,4,4,2,5,4,476,843,1,1,3,2,4,4,1,3,2,2
"61","FERF",2,10950,30,3,9,4,3,0,3,0,28,21,26,56,83,3,6,8,1,NA,1,4,5,3,142,84,NA,3,4,4,1,2,4,4,2,4
"62","FG21",2,6924,18,1,1,5,5,1,3,67.35,3,5,5,60,7.9,3,15,3,5,5,4,1,5,5,0,356,1,2,4,2,4,1,1,1,1,3
"63","FJ11",2,7000,19,2,1,3,2,1,1,48.05,30,5,16,8,0.174,3,13,2,4,4,4,1,5,5,300,624,2,1,3,4,4,3,3,2,2,4
"64","FL26",2,7155,19,3,8,3,2,0,4,75.3,30,25,33,45,0.28,1,2,0,4,5,2,4,5,5,114,877,2,4,3,2,3,4,2,4,3,4
"65","FM26",2,7923,21,2,2,2,2,1,1,13.85,10,5,19,49,46,3,15,4,4,5,4,2,5,4,1531,919,1,3,4,1,4,3,3,3,3,4
"66","FM26",2,8859,24,1,NA,4,1,0,4,100,20,7,30,42,0.89,1,6,18,4,5,4,4,5,5,635,388,1,4,2,2,3,2,1,3,3,2
"67","FV15",2,6891,19.5,1,9,5,5,0,4,1.6,45,7,26,42,12,3,15,5,4,1,4,1,5,5,909,438,2,2,4,NA,4,2,4,4,4,2
"68","FV28",2,7298,19,2,1,5,5,1,3,20.5,5,10,30,56,19.5,3,12,0,5,5,4,4,5,5,0,302,1,1,1,4,4,3,2,3,1,NA
"69","GA09",2,6807,18,2,1,5,5,1,4,0.25,14,2,20,56,1.12,1,12,0,5,5,4,4,5,5,0,332,2,1,4,1,3,3,1,2,2,2
"70","GD10",2,7537,20,0,8,4,3,1,4,69.5,50,5,38,49,2.4,3,60,3,4,5,1,5,5,5,1250,716,1,4,NA,2,1,3,4,4,2,2
"71","GI10",2,7593,20,0,1,2,4,1,1,24.2,40,4,16,60,12.83,3,14,8,5,4,2,1,5,5,0,279,3,1,3,3,4,2,2,4,2,4
"72","GJ16",1,7294,19,2,8,5,5,0,6,130,5,2,3,7,0.3,1,5,0,5,5,4,5,5,5,0,89,1,4,3,2,2,3,2,2,2,1
"73","GJ19",2,7169,19,3,3,5,NA,0,4,13.85,5,1.5,13,60,37,3,10,6,5,5,1,5,5,5,0,991,1,2,3,3,3,2,4,1,2,4
"74","GJ28",2,6872,19,3,2,2,5,0,4,35.2,10,15,20,49,0.735,3,13,4,4,5,4,1,5,5,680,438,2,2,2,4,4,2,3,3,2,3
"75","GM08",2,7111,19,2,3,5,4,1,4,10.5,20,3,47,55,52,3,9,2,4,5,3,1,5,5,468,700,2,3,4,1,4,2,1,2,2,4
"76","GM20",1,7929,21,3,2,2,2,1,3,88.25,30,1,25,64,43.11,3,10,1,4,5,5,5,5,5,400,0,2,2,3,3,4,3,2,2,3,3
"77","GM23",2,13032,35,2,9,5,5,0,4,4.3,10,3,35,49,0.5,1,16,0,4,5,5,5,5,5,90,0,1,2,3,4,3,4,2,2,2,2
"78","GM29",1,7883,21,0,8,4,2,0,4,3.9,12,35,42,49,6.3,3,5,0,5,5,5,5,5,5,0,0,2,4,3,1,4,3,1,3,2,3
"79","GPMP",2,6730,18,0,9,5,5,0,4,5.2,30,4,35,58,2.62,3,7,4,4,5,4,1,5,5,532,1259,1,2,3,3,3,4,3,4,3,3
"80","GR01",2,7088,19,1,9,5,2,0,3,57.3,28,5,30,56,1,1,17,10,5,5,4,5,5,5,0,651,2,2,3,3,4,2,4,3,3,3
"81","GS21",2,8406,23,1,8,4,5,0,3,46,30,25,3,56,0.275,1,12,2,4,5,4,4,5,5,611,682,2,2,2,3,2,3,3,4,2,3
"82","HI14",1,7665,21,1,1,3,1,1,3,15,8,2,25,60,21,3,8,8,4,1,1,2,5,4,200,250,2,2,3,3,3,2,2,3,2,4
"83","HL12",2,7101,19,2,1,5,4,1,2,104.75,5,4,44,51,1.3,1,3,2,5,5,2,4,5,5,0,574,2,2,3,2,2,4,1,2,1,3
"84","HM20",2,8438,23,2,3,3,1,1,2,3,7,0,25,63,58,3,9,1,5,5,1,1,5,5,0,350,1,1,2,3,4,1,3,4,2,4
"85","HS24",2,10086,27,1,1,4,4,0,1,NA,28,10,21,49,58,3,30,2,4,5,4,5,5,5,303,115,1,2,4,4,4,3,1,2,1,2
"86","HZ05",2,8552,23,3,1,3,3,1,3,18.5,20,10,30,60,15.7,3,12,2,4,1,3,3,5,5,642,679,2,1,2,3,3,2,2,3,2,3
"87","IC10",2,6984,19,0,1,2,2,1,4,16.65,75.5,34,15.5,53,25.4,NA,5,0,4,1,4,2,5,5,39,314,2,2,3,2,3,2,2,3,1,2
"88","IG15",2,12341,33,8,9,3,4,0,4,50.55,4,7,48,42,14.96,3,10,0,3,3,3,4,5,5,2051,211,3,3,3,2,1,4,3,3,4,3
"89","II15",2,7221,19,2,1,3,5,1,1,NA,50,2,50,50,NA,3,17,4,4,4,4,2,5,5,208,348,1,3,3,2,4,1,4,4,4,3
"90","ISS2",2,8760,24,2,5,4,5,1,4,45.2,10,4,23,NA,107,3,12,0,5,5,1,5,5,5,0,122,3,2,3,1,3,3,2,3,2,1
"91","JA07",2,6931,18,1,9,5,5,0,4,33,20,5,35,56,2.9,3,4,7,4,4,4,4,5,5,41,70,1,4,2,1,3,3,2,2,2,4
"92","JC30",2,8395,23,2,7,5,5,1,1,55,10,0,116,42,51,3,15,12,4,5,3,1,5,5,1006,298,1,1,2,1,3,2,1,3,3,3
"93","JE27",2,7032,19,3,1,5,5,1,1,3.25,44,1,31,65,NA,3,4,2,4,4,3,5,5,5,112,603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","JG29",2,7395,20,4,9,5,5,0,4,10,38,5,65,60,0.75,1,6,2,5,5,5,4,5,5,0,0,2,3,4,1,1,3,2,2,3,4
"95","JI20",2,7259,19,1,1,NA,1,1,1,0,6,2,22,55,10,3,8,4,5,2,4,2,5,4,0,335,3,4,1,1,4,2,2,2,3,4
"96","JL01",1,6937,18,1,1,3,5,1,4,31.2,12,2,26,63,8.6,4,10,4,4,5,3,2,5,5,324,356,2,3,3,3,4,2,1,2,2,4
"97","JL02",2,7300,20,1,9,2,2,0,4,35.55,4,2,20,8,NA,3,4,14,4,5,4,4,5,5,1193,450,2,1,2,2,2,3,4,4,3,3
"98","JL18",1,7665,21,1,1,3,5,1,4,33,15,1,18,59,9,4,12,4,4,5,2,2,5,5,810,405,2,3,3,3,4,3,3,2,2,3
"99","JM04",1,8789,24,2,1,2,2,1,3,53.35,36,3,5,56,8,3,6,0,5,5,5,5,5,5,0,0,2,2,3,4,3,2,2,1,1,2
"100","JM22",2,7153,19,2,1,3,4,1,1,10,10.5,0.5,6,40,30,3,15,10,5,5,3,5,5,5,0,300,2,3,3,2,4,3,1,3,2,2
"101","JM76",2,15928,43,1,1,4,5,0,2,9.8,6,12,30,63,3,1,17,3,3,5,3,5,5,5,198,101,1,3,4,2,4,3,3,3,2,2
"102","JN24",1,7492,20,1,1,5,5,1,4,38.15,20,6,30,49,23,3,7,0,4,NA,NA,NA,NA,NA,307,280,1,2,3,3,4,2,2,1,2,3
"103","JPC2",1,7799,21,1,6,2,2,0,3,47,30,10,25,45,95.89,3,5,3,4,4,4,4,4,4,298,310,1,2,1,2,4,2,2,2,2,1
"104","JS17",1,6987,19,1,1,5,5,1,3,6.2,20,3,20,45,15,3,22,4,5,5,4,3,5,5,0,210,1,1,3,2,3,3,2,2,1,3
"105","JS28",1,7700,21,0,3,5,2,0,4,0.3,11,5,20,56,29.34,3,8,1,4,5,4,2,5,5,483,235,2,1,3,2,4,1,2,3,3,3
"106","JS98",2,7861,21,1,6,4,2,0,1,36.55,50,2,50,56,700,1,12,7,3,6,5,5,6,6,180,305,1,3,3,4,3,3,2,4,3,3
"107","KE18",2,7248,20,3,3,2,5,1,1,2.65,5,3,30,42,57,3,10,0,5,5,1,3,5,5,0,55,1,1,2,1,4,1,3,2,3,4
"108","KF05",1,8029,21,1,5,2,2,0,4,44.1,30,5,30,56,0.3,1,25,10,5,4,3,1,5,5,0,789,1,3,4,3,3,3,1,1,2,3
